"hhnr","Period_1","Period_2","Period_3","Period_4","Period_5","Period_6","Period_7","Period_8"
"34982",1,1,0,0,1,1,1,1
"30588",1,0,1,1,1,0,0,1
"30908",0,0,0,0,1,1,0,1
"32174",1,1,1,1,1,1,0,0
"16248",1,1,0,1,1,0,1,1
"23997",1,1,1,1,1,1,1,1
"22075",0,0,1,0,0,0,0,1
"21564",1,1,1,1,1,1,1,1
"30880",1,1,0,0,1,0,1,0
"35738",0,0,1,1,0,0,0,0
"29664",1,1,1,1,0,1,1,1
"19406",1,1,1,1,1,1,0,0
"25626",1,1,1,1,1,1,1,1
"28585",1,1,1,1,1,1,1,0
"35906",1,1,1,1,1,1,1,0
"31670",0,0,1,0,0,0,0,0
"23073",1,1,0,0,1,1,0,1
"32397",0,1,0,1,0,1,1,1
"31949",1,1,1,1,1,1,1,1
"28259",1,1,1,1,1,0,1,0
"34106",0,1,1,0,1,0,0,0
"27343",1,1,1,0,0,0,0,0
"12407",0,0,0,0,0,0,0,0
"28757",1,0,1,0,0,1,0,1
"39541",1,0,0,0,1,1,1,1
"26411",1,1,1,1,0,1,0,0
"12614",1,0,0,0,1,1,0,0
"31498",0,0,0,0,0,0,1,0
"18639",1,1,1,1,1,1,1,1
"32239",0,0,0,1,0,1,0,0
"33530",1,1,0,1,1,1,0,1
"22336",0,0,1,0,1,1,1,0
"28435",0,0,1,0,0,0,0,0
"22166",1,0,0,0,1,1,1,1
"16332",0,1,1,0,0,0,0,0
"34995",0,1,1,0,0,0,1,1
"29841",1,1,0,1,1,0,0,0
"33260",0,1,0,1,0,0,0,0
"29836",1,1,1,1,1,1,1,1
"23392",1,1,1,1,1,0,0,0
"31532",1,1,0,1,0,0,1,0
"16706",1,1,1,0,1,1,1,0
"30872",1,1,1,1,1,1,1,0
"31862",1,1,1,1,1,1,1,0
"32208",0,0,0,1,1,1,0,0
"22823",0,1,1,0,1,1,0,0
"13556",1,0,0,0,1,1,1,0
"23434",1,1,1,1,1,1,1,1
"30494",0,1,1,1,1,1,1,1
"10145",1,1,1,1,1,0,0,0
"31307",0,0,1,0,1,1,0,0
"31398",1,1,1,1,1,1,1,1
"30030",0,0,0,0,0,1,0,0
"31691",1,0,1,1,1,0,1,1
"37838",1,0,0,0,0,1,0,0
"41921",1,1,1,0,1,0,0,0
"14273",0,0,1,1,1,0,1,1
"11890",1,0,1,1,1,1,1,0
"18210",1,0,0,0,0,0,0,0
"21475",1,1,1,1,1,1,1,1
"29910",1,1,1,1,1,1,1,1
"14732",0,0,0,1,0,0,0,0
"22846",1,0,1,0,0,0,0,0
"32461",0,1,1,0,0,1,0,0
"25202",1,1,1,1,1,1,1,1
"22837",1,0,1,0,0,0,0,0
"21016",1,0,0,1,1,1,1,1
"14057",0,0,1,1,0,0,0,0
"31988",1,0,1,1,1,1,0,0
"35669",0,0,0,0,0,1,0,0
"23291",1,0,0,0,0,1,0,0
"29934",1,0,0,0,0,1,0,0
"32773",1,0,0,0,0,1,0,0
"15819",0,0,0,0,1,0,0,0
"29969",1,0,0,0,1,1,0,0
"30589",1,1,1,0,1,1,0,0
"19600",1,0,0,1,1,0,0,0
"20628",0,0,1,1,0,1,0,0
"30689",0,0,0,0,1,0,0,0
"25974",0,0,1,0,1,0,0,0
"12164",0,0,0,0,0,1,0,0
"27367",0,0,1,0,0,1,0,0
"23283",1,1,1,0,0,0,0,1
"32590",0,1,1,0,1,0,0,0
"15865",1,1,0,1,0,0,0,0
"13837",1,1,1,1,1,1,0,1
"25939",1,0,0,0,1,0,1,0
"30583",0,0,0,1,0,0,0,0
"15202",0,1,1,0,1,0,0,0
"21994",0,0,1,0,0,1,0,0
"31140",0,1,1,0,0,0,0,0
"25982",1,1,1,1,1,1,1,1
"29070",0,0,0,1,0,0,0,0
"18686",0,1,1,1,0,0,0,0
"30498",0,0,0,0,0,0,0,0
"20718",1,1,1,1,1,1,1,1
"32117",1,0,0,0,0,0,0,0
"14710",0,0,0,1,0,0,0,0
"43003",1,1,1,1,1,1,1,0
"36610",1,1,0,1,1,1,1,0
"32727",0,1,0,0,1,0,0,0
"32601",1,1,1,1,1,1,0,0
"26181",0,0,0,0,1,0,0,0
"30185",1,1,1,0,0,0,1,0
"28367",1,1,1,1,0,0,1,1
"30569",0,1,1,1,1,1,0,1
"30769",1,1,0,1,1,1,0,0
"28248",1,1,0,0,0,0,0,0
"29224",0,1,1,1,1,1,0,0
"40938",0,1,0,1,0,0,0,0
"26805",0,0,0,0,1,0,0,0
"31782",1,1,0,1,1,0,0,0
"22836",0,1,0,0,1,0,0,0
"34055",0,0,0,0,0,0,0,1
"25640",1,1,1,0,0,0,0,0
"33164",0,0,0,1,0,0,0,0
"23784",1,0,0,0,0,0,0,0
"22384",1,1,1,1,0,0,1,1
"29786",1,0,0,0,1,1,0,0
"38107",1,0,0,0,0,0,0,0
"11657",0,0,0,0,0,0,0,1
"31162",0,1,1,1,0,1,1,0
"34053",1,1,1,0,1,1,0,0
"19441",1,0,0,0,0,1,1,1
"42219",1,1,1,0,1,1,1,0
"36775",1,0,1,0,0,0,0,0
"37592",1,0,1,0,1,0,0,0
"26983",1,1,1,1,1,1,0,0
"31705",1,1,0,0,1,0,1,0
"32198",0,0,0,1,0,0,0,0
"12131",1,1,0,0,1,0,0,1
"28983",1,1,1,0,1,0,1,1
"30365",1,1,1,1,1,1,1,1
"24381",0,1,0,1,1,1,0,0
"26014",1,1,0,0,0,0,0,0
"33579",0,0,1,0,1,0,0,0
"42215",1,0,0,0,1,1,1,0
"28306",1,0,0,0,0,0,1,0
"28704",1,1,1,1,1,1,0,0
"35002",1,1,1,1,1,1,1,1
"13397",1,1,1,1,0,1,0,1
"35905",1,1,0,1,1,1,0,0
"30031",1,1,1,0,0,0,0,0
"20571",0,0,0,1,0,0,0,1
"33994",1,1,0,1,1,0,1,1
"32830",1,1,1,1,1,1,0,1
"12406",0,0,0,1,0,0,0,0
"23397",0,0,1,0,0,0,0,0
"36309",0,0,0,0,0,0,0,0
"31104",0,0,0,0,0,1,1,0
"22894",1,1,1,0,1,1,1,1
"30348",1,0,1,1,0,1,0,0
"26943",1,1,1,1,1,1,0,0
"22037",1,1,1,1,1,1,1,1
"33969",0,1,1,1,1,1,1,0
"17975",1,0,1,0,0,0,1,1
"29067",0,0,0,0,1,0,1,0
"11432",0,0,0,0,1,0,0,0
"27923",0,0,0,1,0,0,0,1
"21540",1,1,1,0,1,1,0,1
"22214",1,1,1,1,1,1,0,1
"32976",1,1,0,1,1,1,1,0
"29967",1,1,1,0,1,1,1,1
"19609",1,1,0,0,0,0,0,0
"29187",1,1,1,1,1,1,1,1
"32336",1,1,1,1,0,0,1,0
"16820",1,1,1,0,1,1,1,1
"14171",0,0,0,0,1,0,0,0
"25360",1,0,0,1,1,1,1,1
"41327",1,1,1,1,1,0,1,1
"30949",0,0,0,0,0,0,0,0
"32242",1,0,0,0,0,1,0,0
"23191",0,0,1,1,0,0,0,0
"26050",1,0,0,1,0,0,0,0
"28992",0,0,1,0,0,1,0,0
"33066",1,1,1,0,1,1,0,0
"26599",1,0,1,1,1,1,0,1
"14992",1,1,1,1,1,1,1,1
"18992",1,1,1,1,1,1,0,1
"35778",0,1,0,0,0,0,1,0
"31474",1,0,1,1,1,0,0,1
"30939",1,1,1,0,0,0,1,0
"24272",1,1,1,1,1,1,1,1
"13247",0,0,1,0,0,0,0,0
"23601",1,1,1,1,1,1,1,0
"22712",1,0,0,0,0,1,0,0
"31905",1,0,1,1,1,1,0,1
"24359",0,0,0,0,0,0,1,1
"30444",1,1,1,1,1,1,1,1
"33319",0,0,0,0,0,1,1,1
"33525",1,0,0,1,1,0,0,1
"25372",0,1,0,0,0,0,1,1
"22618",1,1,1,0,1,1,0,0
"33011",1,0,1,0,1,1,1,0
"31531",1,1,1,1,1,1,0,0
"31835",0,1,0,0,0,0,0,0
"31415",1,1,0,1,1,0,0,0
"20494",0,1,0,0,0,0,1,1
"32551",0,1,1,1,1,1,0,0
"31936",1,1,1,1,1,1,1,0
"28265",0,1,0,1,1,0,0,0
"42908",1,1,1,1,1,0,0,0
"31544",0,0,1,0,1,1,0,0
"15043",1,1,0,1,1,1,1,1
"15871",1,0,1,0,1,0,0,0
"42920",1,0,1,0,0,0,1,0
"30716",0,1,1,0,0,0,1,0
"16141",0,0,0,0,0,0,0,0
"24947",1,1,1,1,0,1,1,1
"40185",1,1,1,1,0,1,0,0
"23140",1,1,0,0,0,0,1,1
"32251",1,0,0,0,0,0,0,0
"24261",0,0,1,1,0,0,0,0
"42914",0,1,1,1,1,1,0,1
"25814",1,1,0,1,1,0,1,0
"28038",0,1,1,1,1,0,0,0
"16031",0,0,0,0,0,0,0,0
"39907",0,0,0,0,1,1,0,0
"30247",0,0,1,0,1,0,1,0
"35771",1,1,0,0,1,0,0,0
"36982",0,0,0,0,0,0,0,0
"31633",1,1,1,1,1,0,0,0
"11384",0,0,1,0,1,1,1,1
"25999",0,1,1,1,0,0,1,0
"14095",1,0,1,0,1,1,0,0
"33313",0,1,1,1,1,0,0,0
"11422",1,1,1,1,1,1,1,1
"14886",1,1,0,1,1,1,1,1
"30141",1,1,0,0,0,0,0,1
"29160",1,1,0,0,1,1,1,1
"25215",1,0,0,0,0,1,0,0
"32992",0,0,0,1,0,0,0,0
"32134",1,1,1,1,1,1,1,1
"12764",1,0,1,1,0,0,0,0
"15929",1,1,1,1,1,1,1,0
"29064",0,0,0,0,0,0,1,0
"26718",0,0,0,0,0,0,0,0
"26047",1,0,1,1,1,1,1,0
"27398",0,0,0,0,1,0,0,0
"42919",0,0,0,0,0,0,0,1
