"hhnr","Period_1","Period_2","Period_3","Period_4","Period_5","Period_6","Period_7","Period_8"
"34982",0,0,0,0,1,0,0,0
"30588",1,1,1,0,0,0,0,0
"30908",0,0,0,0,0,0,0,0
"32174",1,1,1,0,1,0,0,0
"16248",1,1,0,1,0,0,1,0
"23997",1,1,1,1,1,1,1,1
"22075",1,1,1,1,1,1,1,1
"21564",1,1,1,1,1,1,1,1
"30880",1,1,1,1,1,1,1,1
"35738",1,1,1,0,0,1,0,0
"29664",1,1,0,0,0,0,0,0
"19406",1,1,1,1,0,1,1,0
"25626",1,1,1,0,1,1,0,0
"28585",1,1,1,1,1,1,1,1
"35906",0,1,0,1,1,1,1,0
"31670",1,1,1,1,0,0,0,0
"23073",1,1,1,0,0,0,0,0
"32397",1,1,1,1,1,1,1,0
"31949",1,0,0,0,0,0,0,0
"28259",1,1,1,0,0,0,0,0
"34106",1,1,1,1,1,0,1,0
"27343",0,0,0,0,0,0,0,0
"12407",1,1,1,1,0,1,0,1
"28757",1,1,0,0,1,1,0,0
"39541",1,1,1,1,1,0,1,1
"26411",1,1,1,0,0,0,0,0
"12614",1,1,1,1,0,1,0,0
"31498",1,1,0,0,1,1,1,0
"18639",0,0,0,0,0,0,0,1
"32239",1,1,0,0,0,0,0,0
"33530",0,0,0,0,1,0,0,0
"22336",1,1,0,0,0,1,1,1
"28435",1,1,1,1,1,1,1,1
"22166",1,1,1,1,1,1,1,1
"16332",0,0,0,0,0,1,0,0
"34995",0,0,0,0,0,0,0,0
"29841",1,1,1,1,0,0,0,0
"33260",0,0,0,0,0,0,0,1
"29836",1,1,0,0,0,0,0,0
"23392",1,1,1,0,0,0,0,0
"31532",1,1,1,1,1,1,1,0
"16706",1,1,0,0,0,0,0,0
"30872",1,1,0,1,0,0,1,0
"31862",1,1,1,0,0,1,1,1
"32208",0,0,0,0,0,0,1,1
"22823",1,1,1,1,1,1,1,1
"13556",1,1,1,1,1,0,0,1
"23434",1,1,1,1,1,1,1,1
"30494",1,1,0,0,0,1,1,0
"10145",1,1,1,1,1,1,1,1
"31307",1,1,0,0,0,0,0,0
"31398",1,0,0,0,0,0,0,0
"30030",1,1,0,0,0,0,0,0
"31691",0,0,0,0,0,0,0,0
"37838",1,1,0,0,0,0,0,0
"41921",1,1,1,1,1,1,1,1
"14273",1,1,1,1,0,1,0,0
"11890",1,1,1,1,1,1,1,1
"18210",0,0,0,0,0,0,0,0
"21475",1,1,0,0,0,0,0,0
"29910",1,1,1,0,0,0,0,0
"14732",1,1,1,0,0,1,0,1
"22846",1,1,1,1,1,1,1,1
"32461",1,1,1,1,0,0,0,0
"25202",1,1,1,0,1,1,0,1
"22837",1,1,0,0,1,1,0,0
"21016",1,1,1,0,0,0,0,1
"14057",1,1,0,0,0,0,0,0
"31988",1,1,1,0,1,1,1,0
"35669",1,1,1,0,0,0,0,1
"23291",1,1,1,1,1,1,1,1
"29934",1,1,0,0,0,0,0,0
"32773",0,0,0,0,0,0,0,0
"15819",1,1,1,1,1,1,0,1
"29969",1,1,1,1,0,1,0,0
"30589",1,1,1,1,0,0,0,0
"19600",1,0,0,0,1,0,1,1
"20628",1,1,1,0,0,0,0,0
"30689",1,1,0,1,0,0,0,0
"25974",1,0,0,0,0,0,0,0
"12164",1,1,0,0,0,0,0,1
"27367",1,1,1,0,0,0,0,0
"23283",1,1,1,0,0,0,0,0
"32590",1,1,1,0,0,0,0,0
"15865",1,1,1,1,1,1,1,0
"13837",1,1,1,1,0,0,0,0
"25939",1,1,0,1,0,1,0,1
"30583",1,1,1,1,1,0,1,0
"15202",1,1,1,1,0,0,0,0
"21994",1,1,1,1,0,0,0,1
"31140",1,1,1,1,1,1,1,0
"25982",1,1,1,0,1,1,1,0
"29070",1,1,1,0,0,0,0,0
"18686",1,1,1,1,0,0,0,0
"30498",1,1,0,0,0,0,0,0
"20718",1,1,1,1,1,1,1,1
"32117",1,1,0,0,0,0,0,0
"14710",1,1,1,1,1,0,0,0
"43003",1,1,1,0,1,0,0,0
"36610",1,1,0,1,0,0,0,0
"32727",1,1,1,1,1,1,0,1
"32601",1,1,1,1,1,1,1,1
"26181",1,1,1,1,1,1,1,1
"30185",1,1,1,1,1,1,1,1
"28367",1,1,0,0,0,0,0,0
"30569",1,1,1,1,0,1,0,0
"30769",1,1,1,0,0,0,0,0
"28248",1,0,0,0,0,0,0,0
"29224",1,1,1,0,0,0,0,0
"40938",1,1,1,1,1,0,0,0
"26805",1,1,0,0,1,0,0,0
"31782",1,1,1,1,1,0,1,1
"22836",1,1,1,1,0,1,0,0
"34055",1,1,0,1,1,1,1,0
"25640",1,1,1,1,1,1,0,0
"33164",1,1,0,0,0,0,0,0
"23784",0,0,0,0,1,0,0,0
"22384",0,0,0,0,0,1,0,0
"29786",1,1,0,1,1,1,1,1
"38107",1,1,0,0,0,1,1,1
"11657",1,1,1,0,0,1,0,1
"31162",0,0,0,0,1,0,0,0
"34053",1,1,0,0,1,0,1,0
"19441",1,0,0,0,1,1,1,0
"42219",1,1,0,0,0,0,0,0
"36775",1,1,1,1,1,1,1,1
"37592",0,0,0,0,0,1,0,0
"26983",1,1,1,1,1,1,1,1
"31705",1,1,0,0,0,0,1,1
"32198",1,1,1,0,0,0,0,0
"12131",1,1,0,0,0,0,0,0
"28983",1,1,1,0,1,0,0,0
"30365",1,1,0,1,0,0,1,0
"24381",1,1,1,0,0,0,0,1
"26014",1,1,1,1,0,0,1,1
"33579",1,1,1,1,1,1,0,0
"42215",1,1,1,0,1,0,0,1
"28306",1,1,1,0,0,0,1,0
"28704",1,1,1,1,1,0,1,1
"35002",0,0,0,0,0,0,0,0
"13397",1,1,1,1,1,1,1,1
"35905",1,1,0,0,0,0,0,0
"30031",1,1,1,1,1,1,0,1
"20571",1,1,1,0,1,0,0,0
"33994",1,1,1,1,1,0,0,0
"32830",1,1,1,0,0,0,0,1
"12406",1,1,1,0,0,0,0,1
"23397",1,1,1,0,0,1,0,1
"36309",1,1,1,0,0,0,1,1
"31104",0,0,0,0,0,0,0,0
"22894",1,1,1,1,1,1,1,1
"30348",1,1,1,1,1,1,1,1
"26943",1,1,0,0,0,0,0,0
"22037",1,1,1,1,1,1,1,1
"33969",1,1,0,1,1,1,1,0
"17975",0,0,0,0,0,0,0,0
"29067",1,1,1,1,0,1,1,1
"11432",1,1,1,0,0,0,0,0
"27923",1,1,1,0,0,0,0,0
"21540",1,1,1,0,0,0,0,0
"22214",1,1,1,0,0,0,0,0
"32976",1,1,1,0,0,0,0,0
"29967",1,1,1,0,0,0,0,0
"19609",1,1,1,0,0,0,0,1
"29187",1,1,1,0,0,0,0,0
"32336",1,1,0,1,0,1,0,1
"16820",1,1,1,1,0,0,0,0
"14171",1,1,0,0,0,0,1,0
"25360",1,1,1,1,1,1,1,1
"41327",1,1,1,0,1,1,1,0
"30949",1,1,0,1,0,0,0,0
"32242",0,0,0,0,0,0,0,0
"23191",1,1,0,0,0,1,1,1
"26050",1,1,1,0,1,1,0,1
"28992",1,1,1,0,0,1,0,1
"33066",0,0,0,0,0,0,0,0
"26599",1,1,1,0,1,0,0,0
"14992",1,0,0,0,0,0,0,0
"18992",1,1,1,0,0,0,0,0
"35778",1,1,1,0,0,0,1,1
"31474",0,0,0,0,0,0,0,0
"30939",0,0,0,0,0,0,0,0
"24272",1,1,1,0,0,0,1,1
"13247",1,1,1,0,0,0,0,0
"23601",1,0,0,0,1,1,1,1
"22712",1,1,0,0,1,0,0,0
"31905",1,1,0,0,1,1,0,1
"24359",1,1,1,1,1,1,1,1
"30444",1,1,0,1,1,1,1,1
"33319",1,1,0,0,0,0,0,0
"33525",0,1,0,1,0,0,0,0
"25372",0,0,0,0,0,0,0,0
"22618",1,1,0,1,0,0,0,0
"33011",1,1,1,1,1,1,0,0
"31531",0,0,0,0,0,0,0,0
"31835",0,0,0,0,0,0,0,0
"31415",0,0,0,0,1,1,1,0
"20494",1,1,0,1,1,1,1,1
"32551",1,1,1,0,1,0,0,0
"31936",1,1,1,1,0,1,0,1
"28265",1,1,1,1,1,0,0,0
"42908",1,1,1,1,0,1,1,1
"31544",1,1,1,0,0,0,0,0
"15043",1,1,1,1,1,1,0,0
"15871",1,0,0,0,0,0,1,0
"42920",1,1,1,1,1,1,0,0
"30716",1,1,1,1,0,1,0,0
"16141",1,1,1,0,0,0,0,0
"24947",1,1,1,0,0,1,1,1
