"hhnr","Period_1","Period_2","Period_3","Period_4","Period_5","Period_6","Period_7","Period_8"
"34982",0,0,1,0,0,0,0,0
"30588",0,0,0,0,0,0,0,0
"30908",1,1,1,1,1,1,0,1
"32174",1,0,0,1,1,0,0,0
"16248",0,1,0,0,1,0,0,0
"23997",0,0,0,0,0,0,0,0
"22075",0,0,0,0,0,0,0,0
"21564",1,0,0,1,0,0,1,0
"30880",1,1,0,0,0,0,0,0
"35738",0,0,1,0,0,0,0,0
"29664",0,0,0,0,0,0,0,0
"19406",0,0,0,0,0,0,0,0
"25626",0,0,0,0,0,0,0,0
"28585",1,1,1,1,1,0,0,0
"35906",0,0,0,1,0,1,0,0
"31670",1,1,0,1,0,0,1,0
"23073",1,0,1,0,0,0,1,0
"32397",0,0,0,0,0,0,0,0
"31949",0,0,0,0,0,0,0,1
"28259",0,0,1,0,0,0,0,0
"34106",0,0,1,1,0,0,1,0
"27343",0,1,0,1,1,1,1,1
"12407",0,0,1,1,1,1,1,0
"28757",0,0,0,0,0,0,0,0
"39541",0,0,0,0,0,0,0,0
"26411",0,0,0,0,0,0,0,0
"12614",0,0,0,0,0,0,0,0
"31498",0,0,0,0,0,0,0,0
"18639",0,0,0,0,0,0,0,0
"32239",0,0,0,0,0,0,0,0
"33530",0,0,0,0,0,0,0,0
"22336",0,0,0,0,0,0,0,0
"28435",0,0,0,0,0,0,0,0
"22166",0,0,1,0,0,0,0,0
"16332",0,0,0,0,0,0,0,0
"34995",0,0,0,1,1,0,0,1
"29841",0,0,0,0,0,0,0,0
"33260",0,0,0,0,0,0,0,0
"29836",0,0,0,0,0,0,0,0
"23392",0,0,0,0,0,0,0,0
"31532",0,0,1,1,0,1,0,0
"16706",0,0,0,1,0,1,0,0
"30872",0,0,0,0,1,0,0,0
"31862",0,0,0,0,0,0,0,0
"32208",0,0,0,0,0,0,0,0
"22823",0,0,0,0,0,0,0,0
"13556",0,0,0,0,0,0,0,1
"23434",1,0,1,1,0,0,0,0
"30494",0,1,1,0,0,0,0,0
"10145",0,0,0,0,0,0,0,0
"31307",0,0,1,0,0,0,0,0
"31398",0,0,0,0,0,0,0,0
"30030",0,0,0,0,0,1,1,0
"31691",0,0,0,0,1,1,1,1
"37838",0,0,0,0,0,0,0,0
"41921",0,0,0,0,0,0,0,0
