ShopCode;ShopText;ShopType;ShopChain
1;BRUGSEN VESTKØB;Supermarkets;SuperGros
2;ØVRIGE KØBMÆND;Other Food;Other Food
3;ØVRIGE SUPERMARKEDER;Other Food;Other Food
4;DAGLI BRUGSEN;Small Supermarkets;Coop
5;BRUGSEN SELVBJ/MINI;Small Supermarkets;Coop
6;BRUGSEN SUPERMARKED;Small Supermarkets;Coop
7;KVICKLY;Supermarkets;Coop
8;SUPER BRUGSEN;Supermarkets;Coop
9;OBS;Other Food;Coop
10;COOP.DK;Internet/Mail Order;Internet/Mail Order
11;IRMA SELBETJENING;Supermarkets;Coop
12;IRMA SUPERMARKED;Supermarkets;Coop
13;ISMEJERI, BRØDUDSALG;Kiosk/Gas station;Other Food
14;IRMA CITY;Supermarkets;Coop
15;VIKTUALIE;Kiosk/Gas station;Other Food
17;SLAGTER;Specialty Stores;Other Food
18;C;Small Supermarkets;Coop
19;FISKEFORRETNING;Specialty Stores;Other Food
20;TORV/MARKED;Specialty Stores;Other Food
21;GRØNTHANDLER;Specialty Stores;Other Food
22;BLOMSTERSTAND;Specialty Stores;Other Non-Food
23;OSTEFORRETNING;Specialty Stores;Other Food
25;BAGER;Specialty Stores;Other Food
26;HELSEKOSTFORRETNING;Drugstore/HPC;Other Non-Food
27;KAFFE-/THEFORRETNING;Specialty Stores;Other Food
28;KØB I UDLAND;Abroad;Abroad
29;FÆRGE UDLAND;Abroad;Abroad
30;DYREFORRETNING;Specialty Stores;Other Non-Food
32;CHOKOLADEFORRETNING;Specialty Stores;Other Food
33;TOBAK OG VIN;Specialty Stores;Other Food
37;VOGN;Specialty Stores;Other Food
38;PØLSEVOGN;Other Food;Convenience
41;PARFUMERI;Drugstore/HPC;Other Non-Food
42;FARVEHANDEL;DIY Stores;Other Non-Food
43;MATERIALIST;Drugstore/HPC;Other Non-Food
44;SCHLECKER;Drugstore/HPC;Other Non-Food
46;APOTEK;Drugstore/HPC;Other Non-Food
49;BONAPARTE;Internet/Mail Order;Internet/Mail Order
50;BONDEGÅRD;Other Food;Other Food
51;EN GROS (EXCL.METRO);Other Food;Other Food
52;KIOSK;Kiosk/Gas station;Convenience
53;7-ELEVEN;Kiosk/Gas station;Convenience
54;BARBER/FRISØR;Drugstore/HPC;Other Non-Food
55;POSTORDRE;Internet/Mail Order;Internet/Mail Order
56;DAELLS VAREHUS POSTORDRE;Internet/Mail Order;Internet/Mail Order
57;ELITE;Kiosk/Gas station;SuperGros
58;ÅLBORG STORKØB(DREISLER);Supermarkets;SuperGros
59;ELLOS (POSTORDRE);Internet/Mail Order;Internet/Mail Order
60;LØVBJERG FOOD MART;Supermarkets;Reitan
61;JACO;Other Food;Other Food
62;B.S. MARKED;Other Food;Other Food
63;EASY24;Kiosk/Gas station;Convenience
66;FØTEX;Supermarkets;Dansk Supermarked
67;BILKA;Hypermarkets;Dansk Supermarked
68;ALDI;Hard Discount;Other Food
71;BRDR. DREISLER;Supermarkets;SuperGros
73;DAKO;Other Food;Other Food
75;HJØRRING STORKØB(DREISR);Supermarkets;SuperGros
76;ISO;Supermarkets;SuperGros
77;ISO INTERNET;Internet/Mail Order;Internet/Mail Order
